,Accuracy,Error Rate,ROC AUC,Precision,Recall,F1 Score,Model,SS, F1 Score
0,0.8353174603174607,0.16468253968253965,0.8354166666666671,0.9080555555555556,0.7666666666666663,,SVM,1.0,0.8108068783068777
1,0.8329365079365083,0.16706349206349203,0.8333333333333338,0.8997222222222222,0.7722222222222219,,LR,1.0,0.8093783068783063
2,0.7873015873015875,0.2126984126984127,0.7875000000000002,0.8652777777777777,0.7249999999999996,,NB,1.0,0.7610052910052905
3,0.770634920634921,0.2293650793650793,0.7715277777777781,0.8666666666666667,0.661111111111111,,KNN,1.0,0.7266666666666663
4,0.6765873015873016,0.3234126984126984,0.6770833333333334,0.7147222222222223,0.6652777777777776,,DT,1.0,0.667222222222222
5,0.7519841269841272,0.24801587301587302,0.7520833333333337,0.8216666666666667,0.7027777777777776,,RF,1.0,0.7290873015873012
6,0.750793650793651,0.24920634920634918,0.7520833333333334,0.773611111111111,0.7291666666666665,,SGBC,1.0,0.7184920634920633
7,0.7587301587301588,0.2412698412698413,0.757638888888889,0.805079365079365,0.7569444444444441,,GBC,1.0,0.7506926406926404
8,0.7250000000000001,0.27500000000000013,0.725,0.8069444444444441,0.6666666666666663,,Ada,1.0,0.6988888888888887
9,0.78968253968254,0.21031746031746018,0.7909722222222226,0.9125,0.661111111111111,,Combined,1.0,0.7400793650793646
10,0.7456349206349207,0.2543650793650794,0.7458333333333333,0.8444444444444444,0.5763888888888888,,SVM,2.0,0.6524603174603174
11,0.7567460317460318,0.24325396825396825,0.7562500000000001,0.8608333333333333,0.6305555555555556,,LR,2.0,0.6917989417989415
12,0.7591269841269842,0.24087301587301588,0.7604166666666667,0.9069444444444444,0.5513888888888888,,NB,2.0,0.65515873015873
13,0.6873015873015873,0.3126984126984128,0.6875,0.7541666666666667,0.5444444444444444,,KNN,2.0,0.60515873015873
14,0.6845238095238096,0.3154761904761906,0.6840277777777779,0.7305555555555556,0.6680555555555557,,DT,2.0,0.6749735449735449
15,0.7003968253968256,0.29960317460317465,0.7000000000000001,0.7324999999999999,0.6902777777777775,,RF,2.0,0.6774867724867722
16,0.6400793650793649,0.3599206349206348,0.640972222222222,0.6482539682539683,0.6347222222222224,,SGBC,2.0,0.6027380952380953
17,0.6726190476190478,0.32738095238095244,0.6722222222222224,0.7313888888888889,0.6458333333333334,,GBC,2.0,0.652910052910053
18,0.7702380952380953,0.2297619047619048,0.7701388888888888,0.8105555555555555,0.7652777777777774,,Ada,2.0,0.7624735449735447
19,0.7242063492063493,0.27579365079365087,0.7243055555555556,0.8444444444444444,0.5333333333333333,,Combined,2.0,0.6223809523809524
