,Accuracy,Error Rate,ROC AUC,Precision,Recall,F1 Score,Model,SS, F1 Score
0,0.7456349206349207,0.2543650793650794,0.7458333333333333,0.8444444444444444,0.5763888888888888,,SVM,1.0,0.6524603174603174
1,0.7595238095238096,0.24047619047619048,0.759027777777778,0.865,0.6305555555555556,,LR,1.0,0.6941798941798941
2,0.7670634920634922,0.23293650793650794,0.7680555555555557,0.923611111111111,0.5666666666666667,,NB,1.0,0.6708730158730157
3,0.6873015873015873,0.3126984126984128,0.6875,0.7541666666666667,0.5444444444444444,,KNN,1.0,0.60515873015873
4,0.6742063492063495,0.3257936507936509,0.6743055555555557,0.6897222222222222,0.7138888888888888,,DT,1.0,0.6782142857142855
5,0.6932539682539686,0.3067460317460319,0.6923611111111114,0.7322222222222223,0.648611111111111,,RF,1.0,0.6565873015873015
6,0.6400793650793649,0.3599206349206348,0.640972222222222,0.6482539682539683,0.6347222222222224,,SGBC,1.0,0.6027380952380953
7,0.6924603174603173,0.3075396825396825,0.6916666666666665,0.7316666666666666,0.672222222222222,,GBC,1.0,0.6700264550264546
8,0.7678571428571428,0.2321428571428572,0.767361111111111,0.8091666666666665,0.7597222222222219,,Ada,1.0,0.7592989417989415
9,0.7242063492063493,0.27579365079365087,0.7243055555555556,0.8444444444444444,0.5333333333333333,,Combined,1.0,0.6223809523809524
