,Model,Accuracy,Error Rate,ROC AUC,Precision,Recall,F1 Score,SS, F1 Score
0,SGBC,0.7650793650793651,0.2349206349206349,0.7638888888888891,0.7927777777777776,0.7708333333333329,,,0.7462301587301583
1,GBC,0.7492063492063493,0.2507936507936508,0.7486111111111112,0.7969444444444442,0.734722222222222,,,0.7378968253968251
2,Ada,0.7250000000000001,0.27500000000000013,0.7243055555555558,0.8405555555555553,0.6111111111111109,,,0.6759523809523807
