,Model,Accuracy,Error Rate,ROC AUC,Precision,Recall, F1 Score,SS
0,SVM,0.7761904761904764,0.22380952380952382,0.776388888888889,0.8344444444444442,0.7180555555555552,0.747791005291005,0.0
1,LR,0.7952380952380954,0.20476190476190467,0.7951388888888893,0.8616666666666665,0.7347222222222219,0.7658994708994703,0.0
2,NB,0.6353174603174602,0.36468253968253966,0.638888888888889,0.6361111111111111,0.30833333333333335,0.3907936507936508,0.0
3,KNN,0.735714285714286,0.26428571428571423,0.7368055555555559,0.8555555555555556,0.5736111111111111,0.6634523809523808,0.0
4,DT,0.6384920634920638,0.3615079365079366,0.6388888888888891,0.6855555555555555,0.6597222222222219,0.6379365079365079,0.0
5,RF,0.7468253968253968,0.2531746031746032,0.7465277777777779,0.8149999999999998,0.7083333333333331,0.7262301587301584,0.0
