,Model,Accuracy,Error Rate,ROC AUC,Precision,Recall, F1 Score
0,SGBC,0.7666666666666667,0.23333333333333334,0.7652777777777778,0.8230555555555554,0.7305555555555555,0.7349999999999997
1,GBC,0.746825396825397,0.2531746031746033,0.7486111111111111,0.8252777777777777,0.6930555555555553,0.7201719576719573
2,Ada,0.6984126984126985,0.3015873015873016,0.696527777777778,0.726111111111111,0.7124999999999999,0.6922619047619047
