,Model,Accuracy,Error Rate,ROC AUC,Precision,Recall, F1 Score,SS
0,SVM,0.7619047619047621,0.2380952380952381,0.7618055555555556,0.7841666666666666,0.7236111111111109,0.729960317460317,0.0
1,LR,0.784920634920635,0.215079365079365,0.785416666666667,0.8308333333333333,0.7527777777777774,0.7652116402116397,0.0
2,NB,0.7674603174603177,0.2325396825396825,0.7687500000000004,0.8794444444444444,0.6277777777777778,0.7026190476190473,0.0
3,KNN,0.7595238095238096,0.24047619047619045,0.7611111111111113,0.9263888888888887,0.5583333333333332,0.6695238095238093,0.0
4,DT,0.6384920634920638,0.3615079365079366,0.6388888888888891,0.6855555555555555,0.6597222222222219,0.6379365079365079,0.0
5,RF,0.7476190476190477,0.2523809523809524,0.7472222222222223,0.8202777777777776,0.7083333333333331,0.7271825396825393,0.0
